Cod_setor;Situacao_setor;V062;V063;V064;V065;V066;V067;V068;V081;V082;V083;V084;V085;V086;V087
230075405000007;1;10;18;20;14;12;7;7;26;28;18;8;11;3;11
230075405000008;1;25;38;32;15;6;12;21;21;20;12;8;3;5;8
230075405000009;8;12;27;21;12;7;9;10;3;3;4;1;1;2;0
230075405000010;8;14;29;17;12;8;9;4;4;7;0;3;0;6;0
230075405000011;8;11;26;19;22;4;9;7;8;5;6;3;0;0;2
230075405000012;8;7;12;13;9;5;3;11;2;2;4;1;0;1;0
230075405000013;8;17;21;25;15;7;14;18;6;10;13;11;7;8;0
230075405000014;8;13;16;18;17;4;16;9;3;2;4;3;0;3;1
230075405000015;8;9;7;6;5;1;4;2;6;3;9;2;4;1;0
230075405000016;1;21;29;23;26;7;10;11;14;13;7;3;2;4;8
230075405000017;1;27;33;38;17;6;14;19;21;25;19;13;7;5;10
230075405000018;1;27;47;42;37;16;15;13;12;22;16;6;7;13;11
230075405000019;1;18;31;19;16;8;9;13;11;23;11;19;3;13;4
230075405000020;1;33;31;42;23;9;19;16;21;27;14;7;4;9;12
230075405000021;8;8;14;7;15;3;5;4;1;3;1;1;2;2;4
230075405000022;8;12;36;28;27;19;14;14;6;13;9;8;7;6;3
230075410000001;1;3;5;3;2;0;0;1;8;10;12;9;2;7;4
230075410000002;8;9;17;16;12;8;7;3;0;1;2;3;2;0;1
