"key","position","name"
"conf/aaai/AllenGM14",1,"Judy Goldsmith"
"conf/aaai/AllenGM14",2,"Nicholas Mattei"
"conf/aaai/AllenPZ08",0,"Martin Allen"
"conf/aaai/AllenPZ08",1,"Marek Petrik"
"conf/aaai/AllenPZ08",2,"Shlomo Zilberstein"
"conf/aaai/AllenZ07",0,"Martin Allen"
"conf/aaai/AllenZ07",1,"Shlomo Zilberstein"
"conf/aaai/AlloucheBBGGLMS12",0,"David Allouche"
"conf/aaai/AlloucheBBGGLMS12",1,"Christian Bessiere"
"conf/aaai/AlloucheBBGGLMS12",2,"Patrice Boizumault"
"conf/aaai/AlloucheBBGGLMS12",3,"Simon de Givry"
"conf/aaai/AlloucheBBGGLMS12",4,"Patricia Gutierrez"
"conf/aaai/AlloucheBBGGLMS12",5,"Samir Loudni"
"conf/aaai/AlloucheBBGGLMS12",6,"Jean-Philippe Métivier"
"conf/aaai/AlloucheBBGGLMS12",7,"Thomas Schiex"
"conf/aaai/AlonFMT13",0,"Noga Alon"
"conf/aaai/AlonFMT13",1,"Dvir Falik"
"conf/aaai/AlonFMT13",2,"Reshef Meir"
"conf/aaai/AlonFMT13",3,"Moshe Tennenholtz"
"conf/aaai/AlonMT13",0,"Noga Alon"
"conf/aaai/AlonMT13",1,"Reshef Meir"
"conf/aaai/AlonMT13",2,"Moshe Tennenholtz"
"conf/aaai/AlonsoAH10",0,"Jason Bernardino Alonso"
"conf/aaai/AlonsoAH10",1,"Kenneth C. Arnold"
"conf/aaai/AlonsoAH10",2,"Catherine Havasi"
"conf/aaai/Alqithami15",0,"Saad Alqithami"
"conf/aaai/AlqithamiH14",0,"Saad Alqithami"
"conf/aaai/AlqithamiH14",1,"Henry Hexmoor"
"conf/aaai/AlqithamiH16",0,"Saad Alqithami"
"conf/aaai/AlqithamiH16",1,"Henry Hexmoor"
"conf/aaai/AlsheikhSNDLT16",0,"Mohammad Abu Alsheikh"
"conf/aaai/AlsheikhSNDLT16",1,"Ahmed Selim"
"conf/aaai/AlsheikhSNDLT16",2,"Dusit Niyato"
"conf/aaai/AlsheikhSNDLT16",3,"Linda Doyle"
"conf/aaai/AlsheikhSNDLT16",4,"Shaowei Lin"
"conf/aaai/AlsheikhSNDLT16",5,"Hwee-Pink Tan"
"conf/aaai/AltmanK10",0,"Alon Altman"
"conf/aaai/AltmanK10",1,"Robert Kleinberg"
"conf/aaai/AltmanT06",0,"Alon Altman"
"conf/aaai/AltmanT06",1,"Moshe Tennenholtz"
"conf/aaai/AlvianoFS16",0,"Mario Alviano"
"conf/aaai/AlvianoFS16",1,"Wolfgang Faber"
"conf/aaai/AlvianoFS16",2,"Hannes Strass"
"conf/aaai/AlvinGMM14",0,"Chris Alvin"
"conf/aaai/AlvinGMM14",1,"Sumit Gulwani"
"conf/aaai/AlvinGMM14",2,"Rupak Majumdar"
"conf/aaai/AlvinGMM14",3,"Supratik Mukhopadhyay"
"conf/aaai/AmadorOZ14",0,"Sofia Amador"
"conf/aaai/AmadorOZ14",1,"Steven Okamoto"
"conf/aaai/AmadorOZ14",2,"Roie Zivan"
"conf/aaai/AmanCP15",0,"Saima Aman"
"conf/aaai/AmanCP15",1,"Charalampos Chelmis"
"conf/aaai/AmanCP15",2,"Viktor K. Prasanna"
"conf/aaai/AmanCP16",0,"Saima Aman"
"conf/aaai/AmanCP16",1,"Charalampos Chelmis"
"conf/aaai/AmanCP16",2,"Viktor K. Prasanna"
"conf/aaai/AmantMR06",0,"Robert St. Amant"
"conf/aaai/AmantMR06",1,"Sean P. McBride"
"conf/aaai/AmantMR06",2,"Frank E. Ritter"
"conf/aaai/AmantW05",0,"Robert St. Amant"
"conf/aaai/AmantW05",1,"Alexander B. Wood"
"conf/aaai/AmantZ00",0,"Robert St. Amant"
"conf/aaai/AmantZ00",1,"Luke S. Zettlemoyer"
"conf/aaai/AmatoBZ10",0,"Christopher Amato"
"conf/aaai/AmatoBZ10",1,"Blai Bonet"
"conf/aaai/AmatoBZ10",2,"Shlomo Zilberstein"
"conf/aaai/AmatoO15",0,"Christopher Amato"
"conf/aaai/AmatoO15",1,"Frans A. Oliehoek"
"conf/aaai/AmbatiVC11",0,"Vamshi Ambati"
"conf/aaai/AmbatiVC11",1,"Stephan Vogel"
"conf/aaai/AmbatiVC11",2,"Jaime G. Carbonell"
"conf/aaai/AmbiteBKMOM02",0,"José Luis Ambite"
"conf/aaai/AmbiteBKMOM02",1,"Greg Barish"
"conf/aaai/AmbiteBKMOM02",2,"Craig A. Knoblock"
"conf/aaai/AmbiteBKMOM02",3,"Maria Muslea"
